Date,Year,dd,hr,Ts_C,VPD,u,SWC,"P, kPa","O3, ppb",PPFD,RH,"precip, mm"
22/03/2015,2015,81,14,9.27,0.38,3.9,0.297,101.18,29.21878571,3173.61,67.9,5
22/03/2015,2015,81,15,8.82,0.34,4.14,0.297,101.18,26.29342857,3173.61,69.93,5
22/03/2015,2015,81,16,8.61,0.35,4,0.297,101.18,30.58507143,3173.61,68.6,5
22/03/2015,2015,81,17,7.84,0.28,3.81,0.297,101.18,30.64828571,3173.61,73.64,5
22/03/2015,2015,81,18,6.79,0.19,3.44,0.297,101.18,31.78157143,3173.61,80.7,5
22/03/2015,2015,81,19,5.35,0.11,2.74,0.297,101.18,31.10035714,3173.61,87.3,5
22/03/2015,2015,81,20,3.92,0.06,2.2,0.297,101.18,27.71071429,3173.61,92.4,5
22/03/2015,2015,81,21,3.68,0,2.57,0.297,101.18,26.10742857,3173.61,100,5
22/03/2015,2015,81,22,5.13,0.07,4.28,0.297,101.18,26.09778571,3173.61,92.2,5
22/03/2015,2015,81,23,5.64,0.07,4.88,0.297,101.18,25.79321429,3173.61,92.3,5
23/03/2015,2015,82,0,5.8,0.07,4.54,0.297,101.18,25.123,3173.61,92.7,5
23/03/2015,2015,82,1,6.04,0.07,4.59,0.297,101.18,24.77342857,3173.61,92.4,5
23/03/2015,2015,82,2,6.26,0.03,4.72,0.297,101.18,25.40285714,3173.61,96.9,5
23/03/2015,2015,82,3,6.35,-0.09,4.64,0.297,101.18,25.46164286,3173.61,109.7,5
23/03/2015,2015,82,4,6.57,-0.12,4.15,0.297,101.18,25.21907143,3173.61,112.3,5
23/03/2015,2015,82,5,6.65,-0.14,3.74,0.297,101.18,25.25185714,3173.61,113.9,5
23/03/2015,2015,82,6,6.22,-0.15,3.67,0.297,101.18,23.9655,3173.61,115.7,5
