dd,hr,Ts_C,RH,u,O3,precip,Rn,PPFD
333,1,-0.41,0.8406,1.33,5.38933928571428,0.0,0.0,0.0
333,2,-0.88,0.8706,1.36,4.039249999999997,0.0,0.0,0.0
333,3,-1.36,0.8906000000000001,1.42,4.393642857142853,0.0,0.0,0.0
333,4,-1.76,0.8944,1.52,4.065898809523805,0.0,0.0,0.0
333,5,-2.01,0.8819,1.64,3.0787202380952357,0.0,0.0,0.0
333,6,-2.14,0.8637999999999999,1.75,2.4223749999999975,0.0,0.0,0.0
333,7,-0.4,0.7569,2.26,3.732410714285711,0.0,0.2131683806,135.3027082222222
333,8,2.69,0.6269,3.43,9.15745238095237,0.0,0.65823853,417.79862249999996
333,9,5.51,0.5706,2.89,16.385083333333313,0.0,1.122988884,712.7859996944443
333,10,9.87,0.5212,3.67,22.125553571428544,0.0,1.467426244,931.4080466388889
333,11,11.75,0.5031,3.55,29.097261904761872,0.0,1.655571687,1050.8281399999998
333,12,12.76,0.48,3.24,33.35874999999997,0.0,1.461610102,927.7164118333334
333,13,13.32,0.4669,3.15,34.767678571428554,0.0,1.246953871,791.4693319166664
333,14,13.3,0.4775,3.09,37.568809523809485,0.0,0.8835802328,560.828008861111
333,15,12.62,0.5156000000000001,2.73,38.89684523809522,0.0,0.4477077028,284.1700280555555
333,16,9.49,0.6762,1.45,36.39713095238092,0.0,0.08318436171,52.79896291666666
333,17,7.31,0.7562000000000001,1.71,24.456190476190447,0.0,0.0,0.0
333,18,7.37,0.7762,2.18,13.383428571428562,0.0,0.0,0.0
333,19,6.56,0.8344,2.4,9.505732142857132,0.0,0.0,0.0
333,20,5.11,0.9144,2.33,10.97995833333332,0.0,0.0,0.0
333,21,4.23,0.9369,2.31,11.985803571428564,0.0,0.0,0.0
333,22,3.56,0.9406,2.11,10.763607142857136,0.0,0.0,0.0
333,23,3.02,0.9656,1.88,9.316827380952377,0.0,0.0,0.0
334,0,2.65,0.9969,1.69,6.593583333333328,0.0,0.0,0.0
334,1,2.44,1.0,1.55,5.38933928571428,0.0,0.0,0.0
334,2,2.58,1.0,1.46,4.039249999999997,0.0,0.0,0.0
334,3,3.45,0.9475,1.39,4.393642857142853,0.0,0.0,0.0
334,4,4.12,0.8994,1.37,4.065898809523805,0.0,0.0,0.0
334,5,4.41,0.8775,1.4,3.0787202380952357,0.0,0.0,0.0
334,6,4.43,0.8725,1.49,2.4223749999999975,0.0,0.0,0.0
334,7,5.12,0.8369,1.91,3.732410714285711,0.0,0.1673831674,106.24181594444444
334,8,7.31,0.7356,3.3,9.15745238095237,0.0,0.4750976761,301.55505275
334,9,9.73,0.6331,3.17,16.385083333333313,0.0,0.8002606109,507.9431933333332
334,10,11.37,0.5588000000000001,2.62,22.125553571428544,0.0,1.129751839,717.0785976666666
