,nL,g_sto_0,m,V_cmax_25,J_max_25,R_d_coeff,f_VPD_method,PARsun,PARshade,LAIsunfrac,layer_lai_frac,layer_lai,D_0,g_bv,Tleaf_C,eact,c_a,fO3_d,f_LS,f_SW,f_VPD
57,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(335.6579479466143, 335.6579479466143, 335.6579479466143)","(104.53375347559138, 104.53375347559138, 104.53375347559138)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2305604.9097796436,"[2.22, 2.22, 2.22]",0.15612,391.0,1.0,1.0,1,1
58,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(419.1028798888574, 419.1028798888574, 419.1028798888574)","(136.38135143704642, 136.38135143704642, 136.38135143704642)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2433282.9675152865,"[1.12, 1.12, 1.12]",0.10169,391.0,1.0,1.0,1,1
59,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(453.31651012202775, 453.31651012202775, 453.31651012202775)","(151.0742753936828, 151.0742753936828, 151.0742753936828)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2537613.4457399137,"[1.67, 1.67, 1.67]",0.12901,391.0,1.0,1.0,1,1
60,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(437.33532691846585, 437.33532691846585, 437.33532691846585)","(146.51753905562308, 146.51753905562308, 146.51753905562308)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2629615.9415397528,"[2.26, 2.26, 2.26]",0.16163,391.0,1.0,1.0,1,1
61,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(426.0249431015345, 426.0249431015345, 426.0249431015345)","(142.65927510440622, 142.65927510440622, 142.65927510440622)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2678467.472268424,"[2.26, 2.26, 2.26]",0.1438,391.0,1.0,1.0,1,1
62,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(393.1785895890665, 393.1785895890665, 393.1785895890665)","(130.18179447255588, 130.18179447255588, 130.18179447255588)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2726443.8376757368,"[2.27, 2.27, 2.27]",0.12892,391.0,1.0,1.0,1,1
63,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(318.2872616122254, 318.2872616122254, 318.2872616122254)","(101.80839471814468, 101.80839471814468, 101.80839471814468)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2789128.8962685103,"[1.35, 1.35, 1.35]",0.06808,391.0,1.0,1.0,1,1
64,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(164.30734098629014, 164.30734098629014, 164.30734098629014)","(51.703209816191645, 51.703209816191645, 51.703209816191645)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2718506.5753093185,"[1.96, 1.96, 1.96]",0.09027,391.0,1.0,1.0,1,1
65,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2629615.9415397528,"[1.65, 1.65, 1.65]",0.06784,391.0,1.0,1.0,1,1
66,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2529083.628510532,"[1.86, 1.86, 1.86]",0.07452,391.0,1.0,1.0,1,1
67,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2342794.4852248565,"[1.5, 1.5, 1.5]",0.05025,391.0,1.0,1.0,1,1
68,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2190250.670585447,"[1.67, 1.67, 1.67]",0.05135,391.0,1.0,1.0,1,1
69,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2099579.9579915977,"[1.47, 1.47, 1.47]",0.03344,391.0,1.0,1.0,1,1
70,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2170428.9898543097,"[1.7, 1.7, 1.7]",0.05897,391.0,1.0,1.0,1,1
71,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2248667.6054944177,"[1.57, 1.57, 1.57]",0.06622,391.0,1.0,1.0,1,1
72,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2333552.656358969,"[-0.42, -0.42, -0.42]",0.0,391.0,1.0,1.0,1,1
