mm,dd,hr,vd,NOT_EXIST
2,82,13,0.008229744,0.008229744
2,82,14,0.007608011,0.007608011
2,82,15,0.008699867,0.008699867
2,82,16,0.007161156,0.007161156
2,82,17,0.012420501,0.012420501
2,82,18,0.011236779,0.011236779
2,82,19,0.00897124,0.00897124
2,82,20,0.008602231,0.008602231
2,82,21,0.004439925,0.004439925
2,82,22,0.009630571,0.009630571
2,82,23,0.002179586,0.002179586
2,83,0,0.00787941,0.00787941
2,83,1,0.00235896,0.00235896
2,83,2,0.007919815,0.007919815
2,83,3,0.00630732,0.00630732
2,83,4,0.005461178,0.005461178
2,83,5,0.011455309,0.011455309
2,83,6,0.009397589,0.009397589
2,83,7,0.010384593,0.010384593
2,83,8,0.005299631,0.005299631
2,83,9,0.006650382,0.006650382
2,83,10,0.007009722,0.007009722
2,83,11,0.010629991,0.010629991
2,83,12,0.010380221,0.010380221
2,83,13,0.009540473,0.009540473
2,83,14,0.014204905,0.014204905
2,83,15,0.007829511,0.007829511
2,83,16,0.011138065,0.011138065
2,83,17,0.0074535,0.0074535
2,83,18,0.007392396,0.007392396
2,83,19,0.007321459,0.007321459
2,83,20,0.014160999,0.014160999
2,83,21,0.006999592,0.006999592
2,83,22,0.013166422,0.013166422
2,83,23,0.010551793,0.010551793
2,84,0,0.011645065,0.011645065
2,84,1,0.009097371,0.009097371
2,84,2,0.006572945,0.006572945
2,84,3,0.010540358,0.010540358
2,84,4,0.009473904,0.009473904
2,84,5,0.007221999,0.007221999
2,84,6,0.006128848,0.006128848
2,84,7,0.003899921,0.003899921
2,84,8,0.007185269,0.007185269
2,84,9,0.004571836,0.004571836
2,84,10,0.005715067,0.005715067
2,84,11,0.01219155,0.01219155
2,84,12,0.010539355,0.010539355
2,84,13,0.007956141,0.007956141
2,84,14,0.008033105,0.008033105
2,84,15,0.005986618,0.005986618
2,84,16,0.007183241,0.007183241
2,84,17,0.007559016,0.007559016
2,84,18,0.00889896,0.00889896
2,84,19,0.010339498,0.010339498
2,84,20,0.010716902,0.010716902
2,84,21,0.012670609,0.012670609
2,84,22,0.013617415,0.013617415
2,84,23,0.009770252,0.009770252
2,85,0,0.00833929,0.00833929
2,85,1,0.007332405,0.007332405
2,85,2,0.01070327,0.01070327
2,85,3,0.014694246,0.014694246
2,85,4,0.014521703,0.014521703
2,85,5,0.014414134,0.014414134
2,85,6,0.009019044,0.009019044
2,85,7,0.014965513,0.014965513
2,85,8,0.013290207,0.013290207
2,85,9,0.012718306,0.012718306
2,85,10,0.009345772,0.009345772
2,85,11,0.013418351,0.013418351
2,85,12,0.008791938,0.008791938
2,85,13,0.010649445,0.010649445
2,85,14,0.013570725,0.013570725
2,85,15,0.007749469,0.007749469
2,85,16,0.00951223,0.00951223
2,85,17,0.01057971,0.01057971
2,85,18,0.008975838,0.008975838
2,85,19,0.008184486,0.008184486
2,85,20,0.011576903,0.011576903
2,85,21,0.012219228,0.012219228
2,85,22,0.009470006,0.009470006
2,85,23,0.005872258,0.005872258
2,86,0,0.009211058,0.009211058
2,86,1,0.004192487,0.004192487
2,86,2,0.003987316,0.003987316
2,86,3,0.007248604,0.007248604
2,86,4,0.008021074,0.008021074
2,86,5,0.008814086,0.008814086
2,86,6,0.004071583,0.004071583
2,86,7,0.009319528,0.009319528
