,g_sv_per_layer,g_sv_sunlit,A_n,A_n_sunlit,A_c,A_j,A_p,A_n_limit_factor,R_d,c_i,c_i_sunlit,f_VPD,v_cmax,j_max,f_VPD_alt,loop_iterations
3267,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.224162498642121,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",41.46160784285076,153.14214361850895,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3268,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.011119579202309,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",39.77079099291443,148.86641660615658,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3269,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.116632537823068,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",40.60819544076803,150.99137179143503,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3270,"[20000, np.float64(170472.97677053255), np.float64(65194.20080358874)]",445707.6509657241,44.15672520863117,26.760127402033923,238.93673882743883,53.206347156638756,231.73718177693462,"['NA', 'A_p', 'A_p']",6.952115453308038,2830.6107118522264,308.1936221311377,"[1.0, np.float64(0.6714303533777002), np.float64(0.6714303533777002)]",55.175520416564794,185.92094467778958,"[1.0, np.float64(0.6927696390102107), np.float64(0.680122630909474)]",1
3271,"[20000, np.float64(244487.024730672), np.float64(106000.17938153732)]",361314.65132862853,73.47586932099901,22.08280152880319,212.83608654531668,85.96532402003038,191.23250480620968,"['NA', 'A_p', 'A_p']",5.736975144186289,2755.518867710473,312.84947461121254,"[1.0, np.float64(0.6682409716660775), np.float64(0.6682272672135515)]",45.531549543924115,163.20492037527958,"[1.0, np.float64(0.6960016311700381), np.float64(0.68093528524117)]",1
3272,"[20000, np.float64(294394.5848531673), np.float64(127348.34349670343)]",396937.44984901475,90.19742221164023,24.30803676857141,226.21984886470648,106.22905943649121,210.5025828408686,"['NA', 'A_p', 'A_p']",6.315077485226058,2734.0132872776426,311.8511410657041,"[1.0, np.float64(0.6663413519318141), np.float64(0.6663240825186965)]",50.11966344035343,174.19578006872405,"[1.0, np.float64(0.6979715418274106), np.float64(0.680837705980771)]",1
3273,"[20000, np.float64(343494.84421975876), np.float64(134483.0152319201)]",485540.63194118754,100.51804399283631,29.541021008968748,255.9114405683031,118.77784057961543,258.8870613766369,"['NA', 'A_c', 'A_c']",7.766611841299106,2731.6705163142897,309.1659818096507,"[1.0, np.float64(0.6653813620822638), np.float64(0.6653612425831391)]",61.639777574928786,200.38911355376155,"[1.0, np.float64(0.7003838136555309), np.float64(0.6800598204570222)]",1
3274,"[20000, np.float64(334586.17685153533), np.float64(136732.02121303868)]",454226.8851310101,100.14265578597781,27.77141860158535,245.4018312913527,120.51494149651558,240.49475490127077,"['NA', 'A_p', 'A_p']",7.2148426470381235,2732.317875565094,310.46049504524177,"[1.0, np.float64(0.6653932204654494), np.float64(0.6653684751078016)]",57.26065691048527,190.6488604607507,"[1.0, np.float64(0.6991010243986204), np.float64(0.6800227031668855)]",1
3275,"[20000, np.float64(340914.3420586649), np.float64(134917.8638837394)]",471927.5628089449,100.24711141895764,28.81621672959305,250.88617496651278,121.56431005674374,249.542491112419,"['NA', 'A_p', 'A_p']",7.48627473337257,2738.4350636742997,310.2475992827123,"[1.0, np.float64(0.6657749744688728), np.float64(0.665752072317658)]",59.41487985483104,195.47152399714201,"[1.0, np.float64(0.6992582647369825), np.float64(0.6798408825743714)]",1
3276,"[20000, np.float64(356703.4216244741), np.float64(136761.98028897803)]",501955.1816046066,103.02903962860009,30.503675393494223,264.43969336643727,125.82043172839576,273.61702977214213,"['NA', 'A_c', 'A_c']",8.208510893164263,2741.5574489984374,309.8197388564418,"[1.0, np.float64(0.6665366722965065), np.float64(0.6665133509839263)]",65.14691296731426,208.01641075430092,"[1.0, np.float64(0.7006175943178725), np.float64(0.6804305224503208)]",1
