,date,dd,hr,Ts_C,Ts_K,P,precip,u,O3,uh,O3_nmol,td,Tleaf_C,u_,Rn,cloudfrac,R,PAR,PPFD,Idrctt,Idfuse,VPD,RH,CO2,h,SWP,SWC,Hd,VPD_dd,esat,eact,is_daylight,sinB,leaf_fphen,LAI,V_cmax_25,J_max_25,snow_depth,ustar_ref,ustar
1062,25/04/2015,115,6,9.15,,101.18,5,4.84,23.9655,,1033.0627031737206,299.5525,,,0.01151159737417943,,3.99708242159008,1.798687089715536,8.22,0.009441948632494621,1.7892451410830412,-0.21,1.181014836444093,391.0,,,0.297,,0.0,1.1601258997621393,1.3701258997621393,False,0.2251402841586509,,,,,,,
1063,25/04/2015,115,7,9.21,,101.18,5,4.15,24.20471429,,1043.1526213494894,299.5525,,,0.104472647702407,,36.275224896669094,16.323851203501093,74.6,0.1042761385735649,16.219575064927525,-0.21,1.1802836745567917,391.0,,,0.297,,0.0,1.1648309283481308,1.3748309283481308,False,0.3832225563724371,,,,,,,
1064,25/04/2015,115,8,9.48,,101.18,5,4.53,27.15121429,,1169.0203336037655,299.5525,,,0.26080350109409184,,90.55677121322634,40.750547045951855,186.23,0.2866356385526374,40.463911407399216,-0.2,1.1686039366519267,391.0,,,0.297,,-0.2,1.1862119234670583,1.3862119234670582,True,0.5268773728101015,,,,,,,
1065,25/04/2015,115,9,9.86,,101.18,5,4.1,28.79071429,,1237.9460679143342,299.5525,,,0.5092350242777366,,178.01604668125455,80.10722100656454,366.09,0.9514193005631396,79.1558017060014,-0.21,1.1725713057887088,391.0,,,0.297,,-0.41000000000000003,1.2168882830214995,1.4268882830214995,True,0.6463148951322262,,,,,,,
1066,25/04/2015,115,10,10.06,,101.18,5,4.37,26.63607143,,1144.4917150919748,299.5525,,,0.5809853454452102,,203.09263311451497,91.39168490153173,417.66,1.3448754610353328,90.0468094404964,-0.19,1.1540566900675617,391.0,,,0.297,,-0.6000000000000001,1.233312230171083,1.423312230171083,True,0.7333956535723964,,,,,,,
1067,25/04/2015,115,11,7.11,,101.18,5,3.67,26.11285714,,1133.8205951948655,299.5525,,,0.2788831509846827,,96.83442742523704,43.57549234135667,199.14,0.34849962640426685,43.22699271495241,-0.17,1.1683532524882037,391.0,,,0.297,,-0.7700000000000001,1.0097815010251234,1.1797815010251234,True,0.782185238350672,,,,,,,
1068,25/04/2015,115,12,6.03,,101.18,5,3.69,26.03485714,,1134.806885767642,299.5525,,,0.3503474835886214,,121.64843180160464,54.74179431072209,250.17,0.43925886660608904,54.302535444116,-0.15,1.1600238644260534,391.0,,,0.297,,-0.9200000000000002,0.9373601902315928,1.0873601902315928,True,0.7893587198930145,,,,,,,
1069,25/04/2015,115,13,5.09,,101.18,5,3.56,27.473,,1201.5382141514317,299.5525,,,0.2719089715536105,,94.41283734500364,42.48577680525164,194.16,0.335422228348143,42.150354576903496,-0.14,1.159436269751906,391.0,,,0.297,,-1.06,0.8780938002240625,1.0180938002240625,True,0.7544272372870522,,,,,,,
1070,25/04/2015,115,14,4.34,,101.18,5,3.31,29.21878571,,1281.3444517416758,299.5525,,,0.5215007094203375,,181.41016289812788,81.63457330415754,373.07,0.6219749693449778,81.01259833481257,-0.12,1.1440226323850897,391.0,,,0.297,,-1.1800000000000002,0.8332023794645153,0.9532023794645152,True,0.6797713133453769,,,,,,,
1071,25/04/2015,115,15,3.88,,101.18,5,2.83,26.29342857,,1154.972076630895,299.5525,,,0.6969363210231263,,265.0474106491612,119.27133479212254,545.07,14.641436286934885,104.62989850518765,-0.09,1.1115681556661576,391.0,,,0.297,,-1.2700000000000002,0.806681794304323,0.8966817943043229,True,0.5704786259098662,,,,,,,
1072,25/04/2015,115,16,3.99,,101.18,5,1.75,30.58507143,,1342.954667009402,299.5525,,,0.3716741754386083,,134.4906394359348,60.52078774617067,276.58,1.915940365104816,58.60484738106585,0.0,1.0,391.0,,,0.297,,-1.2700000000000002,0.8129549722391494,0.8129549722391494,True,0.43399729101454443,,,,,,,
1073,25/04/2015,115,17,3.9,,101.18,5,0.99,30.64828571,,1346.167494003253,299.5525,,,0.3239522215755021,,139.20739119863845,62.6433260393873,286.28,8.98429696920561,53.65902907018169,-0.1,1.1237900780771723,391.0,,,0.297,,-1.3700000000000003,0.8078191851341974,0.9078191851341973,True,0.2796282860864574,,,,,,,
1074,25/04/2015,115,18,4.01,,101.18,5,0.84,31.78157143,,1395.3908813880444,299.5525,,,0.0971585981082429,,108.13031850230973,48.65864332603938,222.37,16.955832718752198,31.702810607287184,-0.1,1.1228350080386065,391.0,,,0.297,,-1.4700000000000004,0.814100162459959,0.914100162459959,True,0.11789160370461207,,,,,,,
1075,25/04/2015,115,19,4.45,,101.18,5,0.58,31.10035714,,1363.3174099299733,299.5525,,,0.0,,78.93022124969607,35.518599562363235,162.32,0.0,0.0,-0.09,1.107186617357113,391.0,,,0.297,,-1.5600000000000005,0.8396570599867669,0.9296570599867668,True,0.0,,,,,,,
1076,25/04/2015,115,20,4.5,,101.18,5,0.26,27.71071429,,1214.5100393464813,299.5525,,,0.0,,17.549234135667398,7.897155361050329,36.09,0.0,0.0,-0.09,1.1068115434079115,391.0,,,0.297,,-1.5600000000000005,0.8426055567448493,0.9326055567448492,False,0.0,,,,,,,
1077,25/04/2015,115,21,2.5,,101.18,5,0.29,26.10742857,,1152.5430811636697,299.5525,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.11,1.1503690813186591,391.0,,,0.297,,-1.5600000000000005,0.7315333646741526,0.8415333646741526,False,0.0,,,,,,,
1078,25/04/2015,115,22,3.28,,101.18,5,1.21,26.09778571,,1148.86646671076,299.5525,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.07,1.090531625538938,391.0,,,0.297,,-1.5600000000000005,0.7732104619053026,0.8432104619053027,False,0.0,,,,,,,
1079,25/04/2015,115,23,3.82,,101.18,5,1.36,25.79321429,,1133.244973910314,299.5525,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.07,1.0871429215544643,391.0,,,0.297,,-1.5600000000000005,0.8032780947819156,0.8732780947819156,False,0.0,,,,,,,
1080,26/04/2015,116,0,3.89,,101.18,5,2.0,25.123,,1103.519688695187,305.4870833333333,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,0.297,,0.0,0.8072503129794275,0.8072503129794275,False,0.0,,,,,,,
1081,26/04/2015,116,1,3.83,,101.18,5,2.06,24.77342857,,1088.4005967513226,305.4870833333333,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,0.297,,0.0,0.8038444965325924,0.8038444965325924,False,0.0,,,,,,,
1082,26/04/2015,116,2,3.49,,101.18,5,2.11,25.40285714,,1117.4257016351626,305.4870833333333,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.987257628629246,391.0,,,0.297,,0.0,0.7847832800534918,0.7747832800534918,False,0.0,,,,,,,
1083,26/04/2015,116,3,3.28,,101.18,5,2.19,25.46164286,,1120.862436157211,305.4870833333333,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.12,0.8448029276475352,391.0,,,0.297,,0.0,0.7732104619053026,0.6532104619053026,False,0.0,,,,,,,
1084,26/04/2015,116,4,2.55,,101.18,5,1.79,25.21907143,,1113.1236035247136,305.4870833333333,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.09,0.8774082799622037,391.0,,,0.297,,0.0,0.7341441980930856,0.6441441980930857,False,0.0,,,,,,,
1085,26/04/2015,116,5,1.85,,101.18,5,1.35,25.25185714,,1117.407793756703,305.4870833333333,,,0.00044814004376367614,,0.15560418186238753,0.0700218818380744,0.32,9.646550081833092e-05,0.06992541633725606,0.08,0.8854411247606444,391.0,,,0.297,,0.0,0.698330878623333,0.618330878623333,False,0.06839865846581274,,,,,,,
