,t_l_estimate,t_lse_constant,t_lma,t_lem,t_lep,t_lse,gamma_1,gamma_2,gamma_3,g_sto_0,m,V_cmax_25,J_max_25,PARsun,PARshade,LAI,D_0,g_bv,td_dd,fO3_d_prev,O3up_acc,Tleaf_C,O3up,eact,sinB,c_a,is_daylight
7840,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,141.76235470936854,46.24017045498442,0.0,2.27,1714299.8570845183,3192.940833333334,1.0,71.76625728444685,10.38,0.0,0.71273,0.1309972564882431,391.0,True
7841,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1714299.8570845183,3192.940833333334,1.0,71.76625728444685,9.35,0.0,0.61938,0.0,391.0,False
7842,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1039446.9683442248,3192.940833333334,1.0,71.76625728444685,6.8,0.0,0.39665,0.0,391.0,False
7843,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1018445.8748504997,3192.940833333334,1.0,71.76625728444685,7.82,0.0,0.44166000000000005,0.0,391.0,False
7844,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1018445.8748504997,3192.940833333334,1.0,71.76625728444685,7.32,0.0,0.38172,0.0,391.0,False
7845,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1039446.9683442248,3192.940833333334,1.0,71.76625728444685,5.51,0.0,0.23967,0.0,391.0,False
7846,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1100047.2717115388,3192.940833333334,1.0,71.76625728444685,6.38,0.0,0.29534,0.0,391.0,False
7847,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1157479.157479736,3192.940833333334,1.0,71.76625728444685,5.95,0.0,0.26696,0.0,391.0,False
7848,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1229890.239005091,3200.2504166666677,1.0,71.76625728444685,5.76,0.0,0.25601,0.0,391.0,False
7849,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1247336.3620130697,3200.2504166666677,1.0,71.76625728444685,5.61,0.0,0.24764,0.0,391.0,False
7850,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1264541.814255266,3200.2504166666677,1.0,71.76625728444685,5.7,0.0,0.25571,0.0,391.0,False
7851,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1281516.2894009582,3200.2504166666677,1.0,71.76625728444685,5.17,0.0,0.22698000000000002,0.0,391.0,False
7852,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1347277.2543170168,3200.2504166666677,1.0,71.76625728444685,5.58,0.0,0.25276,0.0,391.0,False
7853,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1425217.8780804006,3200.2504166666677,1.0,71.76625728444685,5.38,0.0,0.2422,0.0,391.0,False
7854,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1513457.630725089,3200.2504166666677,1.0,71.76625728444685,5.22,0.0,0.23531,0.0,391.0,False
7855,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1701648.024710163,3200.2504166666677,1.0,71.76625728444685,5.2,0.0,0.24814,0.0,391.0,False
7856,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,233.71124078666875,76.7768552635016,0.0,2.27,1871004.5430196044,3200.2504166666677,1.0,71.76625728444685,5.22,0.0,0.26648,0.12343798317734259,391.0,True
