,Tleaf_C,g_sv,f_LS,A_n,A_c,A_j,A_p,A_n_limit_factor,R_d,fO3_h_out,fO3_d_out,fO3_l,c_i,Canopy_A_n
4357,23.9,468308.1114213613,1.0,23.23277586167137,45.229539081300054,23.65850699387894,83.07208415907252,A_j,0.42573113220757125,1,1.0,1.0,297.15642752970507,0.0
4358,23.42,514528.8169395604,1.0,25.752781320626767,44.75117186169183,26.163979930139252,80.06510826853236,A_j,0.4111986095124838,1,1.0,1.0,295.0918984512171,0.0
4359,20.65,335097.58682257985,1.0,17.41527673215815,42.54772906192602,17.751047437973824,63.49531151001599,A_j,0.3357707058156729,1,1.0,1.0,297.23628078747856,0.0
4360,22.17,468966.681824862,1.0,23.997629624872104,43.71232586679893,24.373069910921455,72.38155532693068,A_j,0.3754402860493522,1,1.0,1.0,293.6180239486588,0.0
4361,21.41,469356.02778009087,1.0,24.14829205108073,42.81399494762805,24.50339510170004,67.86383796431745,A_j,0.3551030506193099,1,1.0,1.0,291.99755456808845,0.0
4362,16.2,319828.04314782785,1.0,17.15670547067313,35.31559147406829,17.397213089664717,41.61781084399197,A_j,0.2405076189915857,1,1.0,1.0,292.0267424634382,0.0
4363,19.16,125677.99803075296,1.0,6.3899080171911224,41.241724152034074,6.690524224895776,55.433417695366245,A_j,0.3006162077046533,1,1.0,1.0,304.50539842656866,0.0
4364,17.67,15840.161897711032,1.0,-0.2688374812527948,47.04434707340149,0.0,48.10393377478161,A_j,0.2688374812527948,1,1.0,1.0,418.3744996601001,-0.0
4365,14.7,16807.92054031475,1.0,-0.21442318138422875,39.2675136829505,0.0,35.74823206572804,A_j,0.21442318138422875,1,1.0,1.0,411.5802547503956,-0.0
4366,15.7,16563.525272218696,1.0,-0.2315087123945287,41.86537122409203,0.0,39.578801679823634,A_j,0.2315087123945287,1,1.0,1.0,413.55366661187645,-0.0
4367,15.2,16724.14758831394,1.0,-0.22281704215538375,40.560627783382614,0.0,37.62279480661157,A_j,0.22281704215538375,1,1.0,1.0,412.5094528225545,-0.0
4368,14.18,17005.16656225792,1.0,-0.20599962516631362,37.93022709386652,0.0,33.88316588496713,A_j,0.20599962516631362,1,1.0,1.0,410.57213219936403,-0.0
4369,14.54,16926.465736913688,1.0,-0.2117985382083338,38.85288102248392,0.0,35.165287415593056,A_j,0.2117985382083338,1,1.0,1.0,411.2261018876766,-0.0
4370,14.37,16975.739202835302,1.0,-0.20904190772173603,38.416287793995124,0.0,34.554778391244255,A_j,0.20904190772173603,1,1.0,1.0,410.91245945815456,-0.0
4371,13.96,17079.123040612107,1.0,-0.2025273441859247,37.369633936470414,0.0,33.11950630256536,A_j,0.2025273441859247,1,1.0,1.0,410.1812578752298,-0.0
4372,14.11,17045.947356947014,1.0,-0.20488897791169533,37.75013605001209,0.0,33.63856140086722,A_j,0.20488897791169533,1,1.0,1.0,410.4134814542674,-0.0
4373,14.03,34820.95874916191,1.0,1.0241470055434057,34.38083122923457,1.227773345612801,33.36086933258896,A_j,0.2036263400693954,1,1.0,1.0,343.0621685177275,0.0
4374,15.85,287073.54082378186,1.0,16.886012357822633,34.01041584016144,17.12018804669913,40.181724946741035,A_j,0.2341756888764988,1,1.0,1.0,282.7532971564857,0.0
4375,14.58,412336.77126390795,1.0,24.266194016066382,31.57926332950322,24.478645960518094,35.310262076971306,A_j,0.21245194445171173,1,1.0,1.0,278.84719321660145,0.0
4376,15.21,462904.5167671737,1.0,27.113794455176954,32.637404357136376,27.336782381217343,37.66111120100055,A_j,0.22298792604039006,1,1.0,1.0,278.7542780667327,0.0
4377,18.72,524666.5455283456,1.0,30.056146788150965,38.25351556577566,30.347041030810786,53.19056450629946,A_j,0.29089424265982017,1,1.0,1.0,280.1935735483381,0.0
4378,16.81,477073.22229814355,1.0,27.87989154546095,35.352643598978545,28.13180799156297,44.21964779925174,A_j,0.2519164461020187,1,1.0,1.0,279.898532325051,0.0
4379,17.77,422585.9882887542,1.0,24.83289927140319,36.99620634707769,25.103769906512603,48.57209308884162,A_j,0.27087063510941356,1,1.0,1.0,281.58224801153136,0.0
4380,19.39,346895.8946532182,1.0,20.399059431895314,39.60034882152485,20.704874172818595,56.63148810662623,A_j,0.3058147409232812,1,1.0,1.0,284.48433605499616,0.0
4381,18.94,351755.9533820642,1.0,20.770925320609336,38.91212912411919,21.066644257066308,54.303875088652646,A_j,0.29571893645697245,1,1.0,1.0,283.7567007363665,0.0
4382,19.16,386464.96526709205,1.0,22.775042473562056,39.09848896990609,23.07565868126671,55.433417695366245,A_j,0.3006162077046533,1,1.0,1.0,282.5898671812864,0.0
4383,18.75,526085.8728555284,1.0,30.652834229293344,38.14677724956617,30.944382146420615,53.34141876388447,A_j,0.2915479171272718,1,1.0,1.0,278.68687188760043,0.0
4384,19.17,551515.446572796,1.0,31.599206407669694,38.71835253405741,31.90004695881975,55.48514378826146,A_j,0.30084055115005615,1,1.0,1.0,278.7085328283822,0.0
4385,18.96,516302.0818063161,1.0,29.46524128744975,38.52135709613819,29.761402416754304,54.40589219094805,A_j,0.2961611293045548,1,1.0,1.0,279.552880876677,0.0
